solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_108_12,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,competitor_sales_B,0.120603956016047,59031398.9292562,0.357590844947366,641645.640535394,0.223860777320205,59031398.9292562,0.357590844947366,641645.640535394,0.223860777320205,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,events,0.744942972582471,900515.260979237,0.00545499545839105,900515.260979237,0.314176600877879,900515.260979237,0.00545499545839105,900515.260979237,0.314176600877879,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,facebook_S,216500.454596439,3744923.02003606,0.0226853879678913,40705.685000392,0.0142016180113617,3744923.02003606,0.0226853879678913,40705.685000392,0.0142016180113617,TRUE,0.181827675117088,0.158002832580193,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,5988890.41190929,136111.145725211,0.181827675117088,0.158002832580193,0.520976044607241,0.625311662505803,1.59920254164574,70910.6463268803,0.281219971191604
1_108_12,holiday,0.780831389526633,3509303.67614418,0.0212580912783919,219331.479759011,0.0765215446779533,3509303.67614418,0.0212580912783919,219331.479759011,0.0765215446779533,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,newsletter,426075.003329593,4081455.0964906,0.0247239774601628,44363.6423531587,0.0154778258193213,4081455.0964906,0.0247239774601628,44363.6423531587,0.0154778258193213,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,ooh_S,247547.450911642,7685548.51364335,0.0465562706750566,83538.5708004712,0.0291453852628192,7685548.51364335,0.0465562706750566,83538.5708004712,0.0291453852628192,TRUE,0.310911157955088,0.324262589268509,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,10240536,262577.846153846,0.310911157955088,0.324262589268509,0.439800789994936,0.750502562916955,1.33244048642996,115481.94417363,0.128524403393385
1_108_12,print_S,275569.273871905,2486987.19663524,0.0150652681310136,27032.4695286439,0.00943123315934564,2486987.19663524,0.0150652681310136,27032.4695286439,0.00943123315934564,TRUE,0.0848043521333921,0.104928998421777,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,2793216,77589.3333333333,0.0848043521333921,0.104928998421777,0.631186415377835,0.890366944996462,1.12313244064106,48973.3331782227,1.30376533978415
1_108_12,search_S,60348.4577350493,2510218.62164826,0.0152059956938094,27284.9850179159,0.00951933211949232,2510218.62164826,0.0152059956938094,27284.9850179159,0.00951933211949232,TRUE,0.111321014032676,0.105909160346947,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,3666600,47618.1818181818,0.111321014032676,0.105909160346947,0.706443337431405,0.684617526222729,1.46066958805064,33639.5472860518,0.262924003014632
1_108_12,season,0.336743515995791,-2713477.42668405,-0.0164372639536527,-29494.3198552614,-0.0102901367237847,-2713477.42668405,-0.0164372639536527,-29494.3198552614,-0.0102901367237847,FALSE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,trend,0.276662322034711,76570030.1760115,0.463833523936958,832282.936695777,0.290371341109085,76570030.1760115,0.463833523936958,832282.936695777,0.290371341109085,TRUE,,,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,,,,,,,,,
1_108_12,tv_S,767211.90675367,7273942.16258197,0.0440629084046125,79064.588723717,0.0275844783663224,7273942.16258197,0.0440629084046125,79064.588723717,0.0275844783663224,TRUE,0.311135800761756,0.306896419382574,0,0.0719454180970344,0.0346142419106839,0.89965002506728,762404.414566662,0.01154427783359,65481090.2533626,12,108,0,1,1296,3,10247935.1,256198.3775,0.311135800761756,0.306896419382574,0.218592627015214,0.709795884888261,1.40885573062659,56003.0763747606,0.365645568024775
1_139_3,(Intercept),667574.218586211,61416828.1099314,0.372022890765319,667574.218586211,0.201812954000702,61416828.1099314,0.372022890765319,667574.218586211,0.201812954000702,TRUE,,,0,0.0571097353525195,0.0995536559056144,0.937456116074036,87017.5202694516,0.00122901831167788,65481090.2533626,3,139,1,1,1659,3,,,,,,,,,
