solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
1_108_12,0,0.0346142419106839,0.0719454180970344,0.600002781703433,0.87849453094765,0.23183480469855,0.854571224217966,0.702870419019268,3,FALSE
1_139_3,0,0.0995536559056144,0.0571097353525195,0.395627395127666,0.587816063358291,0.378812279296599,0.526014664848462,0.876616295287312,3,TRUE
1_141_9,0,0.100701805481785,0.0570416632886374,0.386568708473604,0.760168662787949,0.385259027558131,0.519435854134666,0.870369892804648,3,FALSE
1_149_11,0,0.144849418842474,0.0553654440502294,0.466399016457834,0.654868744254098,0.480514938669815,0.315909026315504,0.965932843365086,1,FALSE
1_157_2,0,0.185327300962974,0.0540966338297896,0.293684365275231,0.0115380993921807,0.442727842924807,0.300967055394972,0.722714909974319,4,FALSE
1_158_11,0,0.203678403967041,0.0529004087337973,0.52270681056874,0.495657347064696,0.517013483172289,0.059622105979763,0.618497253483086,1,FALSE
1_158_8,0,0.250999716940679,0.052223230587365,0.65752068597374,0.381990598751431,0.662341257199683,0,0.35396674289946,2,FALSE
1_161_2,0,0.233826352866528,0.0526782703158334,0.598936477565035,0.353897081998359,0.531122736684706,0.000303630641257327,0.513252996912351,2,FALSE
1_165_9,0,0.140316447241461,0.0554280590161146,0.621308651424763,0.53315284132819,0.520539977881221,0.393331607077644,0.973486768923152,1,FALSE
1_166_2,0,0.257631883275643,0.0519187682976297,0.680620706057127,0.412104336126031,0.670844155455908,0,0.26867564525866,2,FALSE
1_166_5,0,0.20459012127579,0.0528655409291562,0.515896070029256,0.428892343766059,0.512058593062866,0.0675109204941963,0.621706011263648,1,FALSE
1_55_10,0,0.0316052439069289,0.0793841079018392,0.741600284041681,0.852052762731907,0.273565506779157,0.939739705817326,0.87385474668163,3,FALSE
2_114_4,0,0.177281095288332,0.0541429721315712,0.233977396309916,0.408919803816035,0.40708672779924,0.141929609381208,0.777048401322317,1,FALSE
2_116_10,0,0.179896968924198,0.0540852514441291,0.242456797755976,0.647952322157161,0.420657167257513,0.123092220598212,0.754112458098441,1,FALSE
2_121_11,0,0.231147318509456,0.052731700902571,0.17532557635376,0.254361003541671,0.491467647992089,0,0.464910129320115,2,FALSE
2_126_11,0,0.227136296149379,0.0524667916867285,0.190458929939529,0.387769723729001,0.494621011793586,0,0.43323911393352,2,FALSE
2_126_12,0,0.104268416358933,0.0562923219637441,0.234086181658068,0.311761410414868,0.222602110545467,0.406314554982491,0.55845593193914,4,FALSE
