solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_151_3,facebook_S,2016-11-21,2018-08-20,92 weeks,0.7,1.5,5988890.41190929,32937177.5119093,780094.884530573,136111.145725211,0.174480243909197,22561.6441286939,356924.167805658,0.165758975934584,1000000,1000000,0.281895343541135,197387.910046354,0.450196521340374,999999.999999999,0.281895343541133,0.197387910046354,30146.1026544571,465735.394580413,0.152725172718925,0.336166038365851,0.304858108779007
5_151_3,ooh_S,2016-11-21,2018-08-20,92 weeks,0.7,1.5,10240536,32937177.5119093,780094.884530573,262577.846153846,0.336597318301676,84791.6900654975,356924.167805658,0.322920197981278,1000000,1000000,0.281895343541135,307362.764226372,0.170558631386922,999999.999999999,0.281895343541133,0.307362764226372,89400.4097642293,465735.394580413,0.290862850577392,0.0543534359932187,0.304858108779007
5_151_3,print_S,2016-11-21,2018-08-20,92 weeks,0.7,1.5,2793216,32937177.5119093,780094.884530573,77589.3333333333,0.0994614051084609,84423.9335500161,356924.167805658,1.08808685321886,1000000,1000000,0.281895343541135,116384,0.5,999999.999999999,0.281895343541133,0.116384,147030.955227652,465735.394580413,1.26332618940449,0.741579064668256,0.304858108779007
5_151_3,search_S,2016-11-21,2018-08-20,92 weeks,0.7,1.5,3666600,32937177.5119093,780094.884530573,47618.1818181818,0.0610415255406224,29840.2686460573,356924.167805658,0.626657035331482,1000000,1000000,0.281895343541135,71427.2727272727,0.5,999999.999999999,0.281895343541133,0.0714272727272728,39220.4475819374,465735.394580413,0.5490962497153,0.314346330026068,0.304858108779007
5_151_3,tv_S,2016-11-21,2018-08-20,92 weeks,0.7,1.2,10247935.1,32937177.5119093,780094.884530573,256198.3775,0.328419507140044,135306.631415394,356924.167805658,0.528132272872781,1000000,1000000,0.281895343541135,307438.053,0.2,999999.999999999,0.281895343541133,0.307438053,159937.479352137,465735.394580413,0.52022668564108,0.182037256260752,0.304858108779007
